seed,epoch,train_loss,valid_loss,learning_rate,_MAE,_MAPE,_RMSE,datetime
30328,1,17402.138675527684,875.200580530773,0.001455,18.762484742566837,13.07030477308151,27.851419878483142,2022-09-18 13:01:50.412524
30328,2,957.8938149706277,811.0638677343468,0.0014113499999999998,17.553597818365603,11.913369199337529,26.37019165680445,2022-09-18 13:02:33.022353
30328,3,901.2615628039975,831.9715412558847,0.0013690094999999998,18.014983965237626,11.81379682429593,26.788626398070736,2022-09-18 13:03:10.757078
30328,4,859.0050279771959,755.275683188025,0.0013279392149999998,16.837233588080874,11.402223652471305,25.53696923364784,2022-09-18 13:03:45.934851
30328,5,830.863479673172,750.2327615815091,0.0012881010385499998,17.141571912466386,11.63449295489471,25.66886599376305,2022-09-18 13:04:22.330275
30328,6,813.7796217870529,811.8343198919572,0.0012494580073934998,17.812312660582183,12.180141215765245,26.488714727204837,2022-09-18 13:04:58.384905
30328,7,794.3466258987957,719.3373114966244,0.0012119742671716947,16.688946286729447,11.352689869592618,25.15875313439824,2022-09-18 13:05:34.151810
30328,8,779.281846919115,721.4916462539937,0.0011756150391565438,16.64710423378709,10.952494164188224,25.130285859751115,2022-09-18 13:06:09.384974
30328,9,762.3171870993831,734.8737366957472,0.0011403465879818474,16.81499027265962,10.943807579669253,25.339263131528785,2022-09-18 13:06:44.326352
30328,10,757.8263322395708,746.5102925383287,0.001106136190342392,17.305722553397224,11.544092693940753,25.81061268943321,2022-09-18 13:07:21.070712
30328,11,747.3060768156898,713.7235470810377,0.0010729521046321203,16.897941336438663,11.168998777255226,25.17250462753344,2022-09-18 13:07:58.881995
30328,12,736.3933703448322,680.9067721504697,0.0010407635414931566,15.971224721400416,10.487838420773242,24.35503144124849,2022-09-18 13:08:34.400814
30328,13,731.5651643966615,698.3767230965499,0.001009540635248362,16.290520754055255,10.799461871480815,24.766266502851938,2022-09-18 13:09:10.791423
30328,14,720.438915473614,683.2792241531989,0.000979254416190911,15.9634343788023,10.452651813226394,24.38465066536921,2022-09-18 13:09:48.949947
30328,15,723.3876650305789,692.1412913592565,0.0009498767837051838,16.18097947732365,11.051229979271922,24.637407090910227,2022-09-18 13:10:28.935381
30328,16,710.505344464512,696.233909077727,0.0009213804801940282,16.12061542806747,10.743379775328306,24.542003219581243,2022-09-18 13:11:08.737310
30328,17,703.4889601188277,673.6276328908226,0.0008937390657882073,15.853926218922602,10.458589837659979,24.204608146534174,2022-09-18 13:11:48.771245
30328,18,702.3453110507096,676.1012454611717,0.0008669268938145611,15.780298377833793,10.40674249744596,24.075500644338998,2022-09-18 13:12:28.817126
30328,19,693.0275733977211,673.7109344129617,0.0008409190870001242,15.935091823323608,10.815184851922195,24.20709982563362,2022-09-18 13:13:08.796236
30328,20,689.4377628753545,685.2736822580326,0.0008156915143901205,16.158642177159063,10.260656159236795,24.55331917780283,2022-09-18 13:13:48.614278
30328,21,684.887933620615,668.0863513395276,0.0007912207689584168,15.735938088929787,10.3718185437076,24.13225515279166,2022-09-18 13:14:28.655924
30328,22,683.1630910041249,668.8462827384816,0.0007674841458896643,15.739783956433351,10.990445006644194,24.050539763547793,2022-09-18 13:15:09.044831
30328,23,685.028445151782,694.6673325996178,0.0007444596215129744,16.169739660288204,10.759049823347828,24.438831416587504,2022-09-18 13:15:45.821046
30328,24,678.9040378879856,670.1994609061004,0.0007221258328675851,15.769304415434624,10.183738305638798,24.16389326530847,2022-09-18 13:16:23.869773
30328,25,670.6710258690086,680.1036881463376,0.0007004620578815575,16.125297479639332,10.162976771582995,24.500346933616413,2022-09-18 13:17:00.803437
30328,26,668.3803709170073,669.8507854042715,0.0006794481961451108,15.793742070986307,10.096617038827747,24.165859892787513,2022-09-18 13:17:37.668974
30328,27,664.5034977386357,658.2245164551487,0.0006590647502607575,15.576114098801723,10.133472562536928,23.91606659598054,2022-09-18 13:18:14.487225
30328,28,662.0259364065516,676.1739377148579,0.0006392928077529347,16.09246351864603,10.508784896964084,24.32753489025531,2022-09-18 13:18:52.552528
30328,29,660.1535970916159,657.1688293721635,0.0006201140235203466,15.497042422525803,10.25081896499386,23.826523113564296,2022-09-18 13:19:31.253702
30328,30,656.8403831098991,667.7503650202227,0.0006015106028147363,15.756321698786147,10.392135450969887,24.021027303631772,2022-09-18 13:20:11.050111
30328,31,656.3070529068759,658.8789373408853,0.0005834652847302942,15.62465942142216,10.315679029513264,23.941540040178946,2022-09-18 13:20:49.148874
30328,32,652.4237952508521,652.7356942237457,0.0005659613261883854,15.455444406494587,10.276720022880129,23.761384540574184,2022-09-18 13:21:27.343575
30328,33,651.2748711781152,660.1548961132248,0.0005489824864027338,15.611613003108886,10.493950074204554,23.99893807045305,2022-09-18 13:22:04.487359
30328,34,647.132936396654,656.1591722345077,0.0005325130118106517,15.443003945683026,10.020121601921991,23.77301684671069,2022-09-18 13:22:41.687832
30328,35,644.9186308282683,655.6834983164175,0.0005165376214563321,15.514298645541174,10.024520272088326,23.79186767527142,2022-09-18 13:23:18.203283
30328,36,644.1082726555902,655.4956936257423,0.0005010414928126422,15.472823681101815,10.199626304060645,23.791311267616255,2022-09-18 13:23:55.397485
30328,37,642.312796161902,651.0561064791817,0.0004860102480282629,15.404187598777384,10.093014396063525,23.735993701030637,2022-09-18 13:24:33.462120
30328,38,639.2091247087279,650.007842444271,0.000471429940587415,15.366797972914924,9.86012122476827,23.680782047958047,2022-09-18 13:25:11.291684
30328,39,637.2278183749283,653.2660608457003,0.00045728704236979253,15.418835843847061,9.966254334907982,23.762216120207956,2022-09-18 13:25:49.392187
30328,40,635.197154807308,651.5767754350784,0.00044356843109869876,15.327101821220431,9.79471548519907,23.59110383103496,2022-09-18 13:26:27.377890
